finalPlace,area,detailplace,province,finalPoint,better_distribution
上海市宝山区罗太路232弄10号,宝山区,罗太路232弄10号,上海市,"(31.416264145414203, 121.34800124828445)",940.6037
上海市宝山区沪太路2613号,宝山区,沪太路2613号,上海市,"(31.314567355412024, 121.41917810240572)",1188.5863
上海市宝山区祁连山路3628号,宝山区,祁连山路3628号,上海市,"(31.33549916692487, 121.38898967107704)",1511.0608
上海市宝山区锦秋路2128号,宝山区,锦秋路2128号,上海市,"(31.32240196886692, 121.37252328192638)",1569.1914
上海市宝山区月新北路44号,宝山区,月新北路44号,上海市,"(31.429657964835904, 121.40170941233458)",1244.83681
上海市宝山区江杨南路1135号,宝山区,江杨南路1135号,上海市,"(31.33415853937282, 121.47454087428639)",1207.94236
上海市宝山区新川沙路589号-1临,宝山区,新川沙路589号-1临,上海市,"(31.480769675844954, 121.34661489339089)",568.88913
上海市宝山区呼兰路515弄1号,宝山区,呼兰路515弄1号,上海市,"(31.35340902889569, 121.45663297428388)",1387.4224
上海市宝山区康家宅路88号,宝山区,康家宅路88号,上海市,"(31.378931427135697, 121.49373963930675)",1717.2559430000001
上海市宝山区湄星路1616号,宝山区,湄星路1616号,上海市,"(31.380031870137273, 121.42623458531787)",1748.7698
上海市宝山区沪联路818号,宝山区,沪联路818号,上海市,"(31.364203367604645, 121.36415098474284)",1104.99267
上海市嘉定区宝安公路4718弄,嘉定区,宝安公路4718弄,上海市,"(31.32223631520884, 121.21864705145865)",539.82942
上海市嘉定区嘉定区嘉松北路7511号,嘉定区,嘉定区嘉松北路7511号,上海市,"(31.27379784434, 121.21261600792575)",901.00454
上海市嘉定区民丰路450号,嘉定区,民丰路450号,上海市,"(31.312043344754102, 121.17219423624887)",1619.92016
上海市嘉定区马陆镇申裕路399弄,嘉定区,马陆镇申裕路399弄,上海市,"(31.36708161056816, 121.28789841135891)",505.04689
上海市嘉定区科盛路605号,嘉定区,科盛路605号,上海市,"(31.335887605405404, 121.3392883002725)",831.28805
上海市嘉定区嘉定区海蓝路669号,嘉定区,嘉定区海蓝路669号,上海市,"(31.269607881857073, 121.34303999678339)",2561.4993
上海市嘉定区嘉定区宝园七路338号,嘉定区,嘉定区宝园七路338号,上海市,"(31.28714511823741, 121.26605234000066)",1400.99453
上海市嘉定区澄浏公路864号,嘉定区,澄浏公路864号,上海市,"(31.439794378256142, 121.2831253548622)",1378.18209
上海市嘉定区沪宜公路盐铁河交界东北侧,嘉定区,沪宜公路盐铁河交界东北侧,上海市,"(31.331527272326337, 121.2941508872)",1038.53078
上海市嘉定区双塘村271号,嘉定区,双塘村271号,上海市,"(31.48604670829782, 121.24344998523355)",701.40481
上海市嘉定区清河路421号,嘉定区,清河路421号,上海市,"(31.38279956778126, 121.24225209483598)",938.68576
上海市嘉定区塔新路861号,嘉定区,塔新路861号,上海市,"(31.39726522980794, 121.28532728132824)",574.88434
上海市嘉定区金沙江路3155弄207号,嘉定区,金沙江路3155弄207号,上海市,"(31.24862283487019, 121.35813296663984)",1384.449
上海市嘉定区嘉定区回城西路39号,嘉定区,嘉定区回城西路39号,上海市,"(31.361623441522585, 121.23242364442076)",1071.9253
上海市嘉定区皇庆二队,嘉定区,皇庆二队,上海市,"(31.405826660725676, 121.2468999275446)",1373.38717
上海市奉贤区南桥镇江海秀南村1258号,奉贤区,南桥镇江海秀南村1258号,上海市,"(30.91687494834905, 121.44413350226529)",4135.85296
上海市奉贤区奉城镇川南奉公路9295号,奉贤区,奉城镇川南奉公路9295号,上海市,"(30.926681608865948, 121.67520811085181)",1272.992492
上海市奉贤区四团镇彭平公路605号,奉贤区,四团镇彭平公路605号,上海市,"(30.912970571517214, 121.75025443188551)",617.35099
上海市奉贤区金汇镇光泰路1989号,奉贤区,金汇镇光泰路1989号,上海市,"(30.981045099194226, 121.58830345186716)",1220.31551
上海市奉贤区青村镇钱桥东路168号,奉贤区,青村镇钱桥东路168号,上海市,"(30.8758616239905, 121.56246279556713)",593.2527299999999
上海市奉贤区海湾镇海兴路1701号,奉贤区,海湾镇海兴路1701号,上海市,"(30.863701442580723, 121.58152034696131)",431.82849699999997
上海市奉贤区庄行镇庄北路534号,奉贤区,庄行镇庄北路534号,上海市,"(30.916160128187332, 121.39921301659443)",602.48509
上海市奉贤区柘林镇迎龙村迎新路132号,奉贤区,柘林镇迎龙村迎新路132号,上海市,"(30.855124246418868, 121.4224603547177)",218.71576
上海市奉贤区奉浦街道吴塘路458弄7号,奉贤区,奉浦街道吴塘路458弄7号,上海市,"(30.968788338500584, 121.4535960728463)",1222.94672
上海市奉贤区金汇镇光泰路1989号,奉贤区,金汇镇光泰路1989号,上海市,"(30.981045099194226, 121.58830345186716)",1220.31551
上海市奉贤区西渡街道金港村刘港四组88号,奉贤区,西渡街道金港村刘港四组88号,上海市,"(30.986322144224495, 121.4683173238827)",738.78363
